run,group_size,groups,n_columns,auc
1,1,"('age',)",1,0.711687029200247
2,1,"('hours.per.week',)",1,0.6789296731905652
3,1,"('workclass',)",9,0.5808109747876501
4,1,"('education',)",16,0.7124048368841942
5,1,"('marital.status',)",7,0.7749431291324673
6,1,"('occupation',)",15,0.728844192051905
7,1,"('relationship',)",6,0.7876365221833643
8,1,"('race',)",5,0.5411244128904089
9,1,"('sex',)",2,0.6169798949645924
10,1,"('native.country',)",42,0.5242076657412325
11,2,"('age', 'hours.per.week')",2,0.7605008465567702
12,2,"('age', 'workclass')",10,0.7290867860559351
13,2,"('age', 'education')",17,0.7954780638155221
14,2,"('age', 'marital.status')",8,0.8211117432007184
15,2,"('age', 'occupation')",16,0.7963385502508944
16,2,"('age', 'relationship')",7,0.8217245911442641
17,2,"('age', 'race')",6,0.7263783546990321
18,2,"('age', 'sex')",3,0.757877684240745
19,2,"('age', 'native.country')",43,0.7205244272442697
20,2,"('hours.per.week', 'workclass')",10,0.7077447333254455
21,2,"('hours.per.week', 'education')",17,0.7585642791564515
22,2,"('hours.per.week', 'marital.status')",8,0.8187767185882037
23,2,"('hours.per.week', 'occupation')",16,0.7635066160750399
24,2,"('hours.per.week', 'relationship')",7,0.825549086764273
25,2,"('hours.per.week', 'race')",6,0.6913992744192188
26,2,"('hours.per.week', 'sex')",3,0.7130229586104362
27,2,"('hours.per.week', 'native.country')",43,0.6886650760479467
28,2,"('workclass', 'education')",25,0.7343927273619439
29,2,"('workclass', 'marital.status')",16,0.8002915656622634
30,2,"('workclass', 'occupation')",24,0.7408689038511455
31,2,"('workclass', 'relationship')",15,0.806864246642435
32,2,"('workclass', 'race')",14,0.6021316457687296
33,2,"('workclass', 'sex')",11,0.6588725604169132
34,2,"('workclass', 'native.country')",51,0.595713939478987
35,2,"('education', 'marital.status')",23,0.8556607235721578
36,2,"('education', 'occupation')",31,0.769052715126768
37,2,"('education', 'relationship')",22,0.8595997806564988
38,2,"('education', 'race')",21,0.7204164006845828
39,2,"('education', 'sex')",18,0.755661176429585
40,2,"('education', 'native.country')",58,0.7159560129835943
41,2,"('marital.status', 'occupation')",22,0.8535502073284484
42,2,"('marital.status', 'relationship')",13,0.7906299384389053
43,2,"('marital.status', 'race')",12,0.7812532674523227
44,2,"('marital.status', 'sex')",9,0.7773247865952367
45,2,"('marital.status', 'native.country')",49,0.784112632177045
46,2,"('occupation', 'relationship')",21,0.8567497596989451
47,2,"('occupation', 'race')",20,0.7323750182289446
48,2,"('occupation', 'sex')",17,0.7629739640227131
